Match Number,Time,Team,Inning
Match 1,08:00h-08:20h,Team A vs Team B,Inning 1
Match 2,08:20h-08:40h,Team E vs Team F,Inning 1
Match 1,08:40h-09:00h,Team A vs Team B,Inning 2
Match 2,09:00h-09:20h,Team E vs Team F,Inning 2
Match 3,09:20h-09:40h,Team C vs Team D,Inning 1
Match 4,09:40h-10:00h,Team G vs Team H,Inning 1
Match 3,10:00h-10:20h,Team C vs Team D,Inning 2
Match 4,10:20h-10:40h,Team G vs Team H,Inning 2
Match 5,10:40h-11:00h,Team A vs Team C,Inning 1
Match 6,11:00h-11:20h,Team E vs Team G,Inning 1
Match 5,11:20h-11:40h,Team A vs Team C,Inning 2
Match 6,11:40h-12:00h,Team E vs Team G,Inning 2
Match 7,12:00h-12:20h,Team B vs Team D,Inning 1
Match 8,12:20h-12:40h,Team F vs Team G,Inning 1
Match 7,12:40h-13:00h,Team B vs Team D,Inning 2
Match 8,13:00h-13:20h,Team F vs Team G,Inning 2
Match 9,13:20h-13:40h,Team B vs Team C,Inning 1
Match 10,13:40h-14:00h,Team E vs Team H,Inning 1
Match 9,14:00h-14:20h,Team B vs Team C,Inning 2
Match 10,14:20h-14:40h,Team E vs Team H,Inning 2
Match 11,14:40h-15:00h,Team A vs Team D,Inning 1
Match 12,15:00h-15:20h,Team F vs Team H,Inning 1
Match 11,15:20h-15:40h,Team A vs Team D,Inning 2
Match 12,15:40h-16:00h,Team F vs Team H,Inning 2
